"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,218,70,288,3,0,3
Aragón,20,3,23,0,0,0
"Asturias, Principado de *",,,,,,
"Balears, Illes",26,6,32,0,0,0
Canarias,8,2,10,0,1,1
Cantabria *,1,0,1,0,0,0
Castilla-La Mancha *,,,,,,
Castilla y León,43,14,57,2,0,2
Catalunya,99,29,128,0,0,0
Ceuta *,,,,,,
Comunitat Valenciana,29,5,34,2,1,3
Extremadura *,,,,,,
Galicia,11,2,13,0,0,0
"Madrid, Comunidad de",132,33,165,4,2,6
Melilla *,,,,,,
"Murcia, Región de",104,29,133,5,0,5
"Navarra, Comunidad Foral de",18,6,24,0,0,0
País Vasco,51,15,66,0,0,0
"Rioja, La",2,1,3,0,0,0
TOTAL,762,215,977,16,4,20
