"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,205,208,413,3,10,13
Aragón,,,,,,
"Asturias, Principado de *",,,,,,
"Balears, Illes",9,9,18,0,1,1
Canarias,19,24,43,2,0,2
Cantabria *,1,0,1,0,0,0
Castilla-La Mancha *,1,0,1,0,0,0
Castilla y León,38,35,73,4,2,6
Catalunya,4,6,10,0,0,0
Ceuta *,,,,,,
Comunitat Valenciana,79,96,175,6,10,16
Extremadura *,,,,,,
Galicia,23,19,42,4,0,4
"Madrid, Comunidad de",133,172,305,9,6,15
Melilla *,1,1,2,0,0,0
"Murcia, Región de",22,19,41,2,0,2
"Navarra, Comunidad Foral de",16,7,23,0,0,0
País Vasco,16,24,40,0,0,0
"Rioja, La",1,6,7,0,2,2
TOTAL,568,626,1.194,30,31,61
