"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,34,35,69,0,2,2
Aragón,,,,,,
"Asturias, Principado de *",,,,,,
"Balears, Illes",2,1,3,0,0,0
Canarias,0,1,1,1,0,1
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,6,8,14,0,0,0
Catalunya,20,15,35,0,3,3
Ceuta *,,,,,,
Comunitat Valenciana,11,8,19,2,1,3
Extremadura *,,,,,,
Galicia,9,6,15,1,0,1
"Madrid, Comunidad de",22,11,33,3,1,4
Melilla *,,,,,,
"Murcia, Región de",8,6,14,0,0,0
"Navarra, Comunidad Foral de",0,0,0,0,0,0
País Vasco,4,3,7,0,0,0
"Rioja, La",,,,,,
TOTAL,116,94,210,7,7,14
