"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,352,229,581,2,2,4
Aragón,11,3,14,0,2,2
"Asturias, Principado de *",,,,,,
"Balears, Illes",20,8,28,3,0,3
Canarias,31,18,49,2,0,2
Cantabria *,,,,,,
Castilla-La Mancha *,1,0,1,0,0,0
Castilla y León,30,19,49,2,1,3
Catalunya,61,22,83,1,1,2
Ceuta *,1,0,1,0,0,0
Comunitat Valenciana,173,89,262,9,5,14
Extremadura *,,,,,,
Galicia,51,21,72,3,3,6
"Madrid, Comunidad de",254,192,446,4,8,12
Melilla *,0,2,2,0,0,0
"Murcia, Región de",38,22,60,0,0,0
"Navarra, Comunidad Foral de",21,17,38,0,1,1
País Vasco,2,0,2,0,0,0
"Rioja, La",3,2,5,1,0,1
TOTAL,1.049,644,1.693,27,23,50
