Enfermedad Rara,VIVOS,,
,Hombre,Mujer,Total
Ataxia de Friedreich,300,352,652
Atrofia Muscular Espinal Proximal,278,240,518
Complejo Esclerosis Tuberosa,906,1.000,1.906
Displasia Renal,1.049,644,1.693
Distrofia Miotónica de Steinert,1.771,1.863,3.634
Enfermedad de Fabry,190,202,392
Enfermedad de Gaucher,116,94,210
Enfermedad de Huntington,715,884,1.599
Enfermedad de Niemann Pick,46,28,74
Enfermedad de Rendu Osler,574,833,1.407
Enfermedad de Wilson,492,401,893
Esclerosis Lateral Amiotrófica,1.193,895,2.088
Fenilcetonuria,627,774,1.401
Fibrosis Quística,1.587,1.559,3.146
Hemofilia A,2.760,418,3.178
Osteogénesis Imperfecta,568,626,1.194
Síndrome de Angelman,164,166,330
