"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,380,377,757,35,31,66
Aragón,70,68,138,1,3,4
"Asturias, Principado de *",,,,,,
"Balears, Illes",32,40,72,1,4,5
Canarias,59,54,113,6,8,14
Cantabria *,11,7,18,0,0,0
Castilla-La Mancha *,0,0,0,0,1,1
Castilla y León,107,95,202,4,6,10
Catalunya,202,188,390,22,12,34
Ceuta *,1,1,2,0,0,0
Comunitat Valenciana,261,250,511,21,19,40
Extremadura *,4,5,9,0,0,0
Galicia,67,96,163,4,7,11
"Madrid, Comunidad de",265,273,538,20,23,43
Melilla *,2,1,3,0,0,0
"Murcia, Región de",76,62,138,7,6,13
"Navarra, Comunidad Foral de",18,15,33,1,1,2
País Vasco,27,24,51,0,0,0
"Rioja, La",5,3,8,0,1,1
TOTAL,1.587,1.559,3.146,122,122,244
