ORPHAcode,nombre_enfermedad
66646,Cutaneous mastocytosis
66661,Mast cell sarcoma
66662,Extracutaneous mastocytoma
67036,Autosomal dominant optic atrophy and cataract
67038,B-cell chronic lymphocytic leukemia
67039,Segmental odontomaxillary dysplasia
67041,Hyaluronidase deficiency
67042,Late-onset retinal degeneration
67043,Amoebic keratitis
67044,Thrombocytopenia with congenital dyserythropoietic anemia
67045,X-linked intellectual disability with isolated growth hormone deficiency
67046,3-methylglutaconic aciduria type 1
67047,3-methylglutaconic aciduria type 3
67048,3-methylglutaconic aciduria type 4
68329,Rare maxillo-facial surgical disease
68334,Rare hemorrhagic disorder due to a constitutional coagulation factors defect
68335,Rare chromosomal anomaly
68336,Rare genetic tumor
68341,Multiple congenital anomalies/dysmorphic syndrome
68346,Rare genetic skin disease
68347,Tumor of hematopoietic and lymphoid tissues
68354,Rare sleep disorder
68356,Leukodystrophy
68361,Rare deafness
68362,Rare vascular disease
68363,Rare dystonia
68364,Hemoglobinopathy
68366,Lysosomal disease
68367,Rare inborn errors of metabolism
68373,Peroxisomal disease
68378,Congenital limb malformation
68380,Mitochondrial disease
68381,Neuromuscular disease
68383,Rare constitutional aplastic anemia
68385,Neurometabolic disease
68402,Rare parkinsonian disorder
68411,Rare bone tumor
68415,Rare parathyroid disease and phosphocalcic metabolism anomaly
68416,Rare infectious disease
68419,Rare vascular anomaly
69028,Dysostosis with brachydactyly
69061,Idiopathic steroid-sensitive nephrotic syndrome
69063,Congenital membranous nephropathy due to fetomaternal anti-neutral endopeptidase alloimmunization
69076,Familial renal glucosuria
69077,Rhabdoid tumor
69078,Liposarcoma
69082,Odonto-tricho-ungual-digito-palmar syndrome
69083,"Ectodermal dysplasia with natal teeth, Turnpenny type"
69084,Pure hair and nail ectodermal dysplasia
69085,Limb-mammary syndrome
69087,Naegeli-Franceschetti-Jadassohn syndrome
69088,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome
69125,Anonychia with flexural pigmentation
69126,PAPA syndrome
69663,Low phospholipid-associated cholelithiasis
69665,Intrahepatic cholestasis of pregnancy
69723,Tyrosinemia type 3
69735,Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome
69736,Bilateral acute depigmentation of the iris
69737,Bosley-Salih-Alorainy syndrome
69739,Athabaskan brainstem dysgenesis syndrome
69744,Circumscribed palmoplantar hypokeratosis
69745,Warty dyskeratoma
70472,"Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type"
70475,Radiation proctitis
70476,Vernal keratoconjunctivitis
70482,Carcinoma of esophagus
70567,Cholangiocarcinoma
70568,Post-transplant lymphoproliferative disease
70573,Small cell lung cancer
70578,Adult acute respiratory distress syndrome
70588,Meconium aspiration syndrome
70589,Bronchopulmonary dysplasia
70590,Infantile apnea
70591,Chronic thromboembolic pulmonary hypertension
70592,Transient predisposition to invasive pyogenic bacterial infection
70593,Immunodeficiency due to selective anti-polysaccharide antibody deficiency
70594,Dopa-responsive dystonia due to sepiapterin reductase deficiency
70595,Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome
70596,Congenital Epstein-Barr virus infection
71198,Rare pulmonary hypertension
71202,Rare hemorrhagic disorder due to a constitutional platelet anomaly
71203,Autoimmune thrombocytopenia
71209,Rare soft tissue tumor
71211,Neuromyelitis optica spectrum disorder
71212,Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency
71213,Retinal capillary malformation
71267,Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome
71271,Split hand-split foot-deafness syndrome
71272,Sandifer syndrome
71273,Renal nutcracker syndrome
71274,Disseminated peritoneal leiomyomatosis
71275,Rh deficiency syndrome
71276,Silent sinus syndrome
71277,Classic glucose transporter type 1 deficiency syndrome
71278,Congenital brain dysgenesis due to glutamine synthetase deficiency
71279,CANOMAD syndrome
71281,Rare central nervous system and retinal vascular disease
71289,Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome
71290,Familial platelet disorder with associated myeloid malignancy
71493,Familial thrombocytosis
71505,Cancer-associated retinopathy
71517,Rapid-onset dystonia-parkinsonism
71518,Benign paroxysmal torticollis of infancy
71519,Psychogenic movement disorders
71526,Obesity due to pro-opiomelanocortin deficiency
71528,Obesity due to prohormone convertase I deficiency
71529,Obesity due to melanocortin 4 receptor deficiency
71859,Rare genetic neurological disorder
71862,Inherited retinal disorder
71864,Muscular channelopathy
73014,Intractable diarrhea of infancy
73217,Müllerian aplasia
73223,Global developmental delay-osteopenia-ectodermal defect syndrome
73224,Kidney tubulopathy-dilated cardiomyopathy syndrome
73229,HANAC syndrome
73230,Ossification anomalies-psychomotor developmental delay syndrome
73245,Spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome
73246,Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome
73256,Central neurocytoma
73260,Paracoccidioidomycosis
73263,Zygomycosis
73267,Non-24-hour sleep-wake syndrome
73271,Bleeding diathesis due to a collagen receptor defect
73272,Growth delay due to insulin-like growth factor type 1 deficiency
73273,Growth delay due to insulin-like growth factor I resistance
73423,Acute ackee fruit intoxication
75110,Myiasis
75233,Wolman disease
75234,Cholesteryl ester storage disease
75249,Familial isolated restrictive cardiomyopathy
75325,Osteosclerosis-ichthyosis-premature ovarian failure syndrome
75326,Familial isolated retinal arteriolar tortuosity
75327,North Carolina macular dystrophy
75373,Progressive bifocal chorioretinal atrophy
75374,Bradyopsia
75376,Familial drusen
75377,Central areolar choroidal dystrophy
75378,Oligocone trichromacy
75381,Cystoid macular dystrophy
75382,Oguchi disease
75389,Brain malformation-congenital heart disease-postaxial polydactyly syndrome
75391,Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency
75392,Periodontal Ehlers-Danlos syndrome
75496,B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome
75497,X-linked Ehlers-Danlos syndrome
75508,Angioosteohypotrophic syndrome
75563,X-linked sideroblastic anemia
75564,Acquired idiopathic sideroblastic anemia
75565,Tropical endomyocardial fibrosis
75566,Loeffler endocarditis
75567,Primary progressive freezing gait
75840,Ullrich congenital muscular dystrophy
75857,6q terminal deletion syndrome
75858,MORM syndrome
77240,Primary lymphedema
77258,Trichorhinophalangeal syndrome type 1
77259,Gaucher disease type 1
77260,Gaucher disease type 2
77261,Gaucher disease type 3
77292,Infantile neurovisceral acid sphingomyelinase deficiency
77293,Chronic visceral acid sphingomyelinase deficiency
77295,Odontoleukodystrophy
77296,Morgagni-Stewart-Morel syndrome
77297,Majeed syndrome
77298,Anophthalmia/microphthalmia-esophageal atresia syndrome
77299,Microphthalmia-brain atrophy syndrome
77300,Auricular abnormalities-cleft lip with or without cleft palate-ocular abnormalities syndrome
77301,Monosomy 9q22.3 syndrome
77828,Genetic obesity
77830,Rare genetic odontologic disease
79062,Disorder of amino acid and other organic acid metabolism
79076,Juvenile polyposis of infancy
79078,IgG4-related dacryoadenitis and sialadenitis
79083,PPARG-related familial partial lipodystrophy
79084,"Familial partial lipodystrophy, Köbberling type"
79085,AKT2-related familial partial lipodystrophy
79086,Acquired generalized lipodystrophy
79087,Acquired partial lipodystrophy
79088,Localized lipodystrophy
79091,Hereditary inclusion body myopathy-joint contractures-ophthalmoplegia syndrome
79093,Foix-Alajouanine syndrome
79094,Grange syndrome
79095,Congenital bile acid synthesis defect type 4
79096,Pyridoxal phosphate-responsive seizures
79097,Folinic acid-responsive seizures
79098,Sympathetic ophthalmia
79099,Interstitial granulomatous dermatitis with arthritis
79100,Atrophoderma vermiculata
79101,Hyperprolinemia type 2
79102,Thyrotoxic periodic paralysis
79105,Myxofibrosarcoma
79106,Eiken syndrome
79107,Developmental malformations-deafness-dystonia syndrome
79113,Mandibulofacial dysostosis-microcephaly syndrome
79118,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome
79124,Hepatic veno-occlusive disease-immunodeficiency syndrome
79126,Acute interstitial pneumonia
79127,Respiratory bronchiolitis-interstitial lung disease syndrome
79128,Lymphoid interstitial pneumonia
79129,Trichodysplasia-amelogenesis imperfecta syndrome
79133,Focal facial dermal dysplasia type I
79134,DEND syndrome
79135,Episodic ataxia type 3
79136,Episodic ataxia type 4
79137,Generalized epilepsy-paroxysmal dyskinesia syndrome
79138,Bickerstaff brainstem encephalitis
79139,Japanese encephalitis
79140,Cutaneous neuroendocrine carcinoma
79141,Hereditary painful callosities
79143,Isolated congenital anonychia
79144,Isolated congenital onychodysplasia
79145,Dowling-Degos disease
79146,Familial progressive hyperpigmentation
79147,Familial reactive perforating collagenosis
79148,Elastosis perforans serpiginosa
79149,Dermochondrocorneal dystrophy
79150,Linear and whorled nevoid hypermelanosis
79151,Acrokeratosis verruciformis of Hopf
79152,Disseminated superficial actinic porokeratosis
79153,Idiopathic trachyonychia
79154,2-aminoadipic 2-oxoadipic aciduria
79155,Hydroxykynureninuria
79156,Seizures-intellectual disability due to hydroxylysinuria syndrome
79157,2-methylbutyryl-CoA dehydrogenase deficiency
79158,Cerebral organic aciduria
79159,Isobutyryl-CoA dehydrogenase deficiency
79161,Disorder of carbohydrate metabolism
79163,Classic organic aciduria
79166,Disorder of amino acid absorption and transport
79167,Disorder of urea cycle metabolism and ammonia detoxification
79168,Disorder of bile acid synthesis
79169,Disorder of neurotransmitter metabolism and transport
79171,Disorder of cobalamin metabolism and transport
79172,Creatine deficiency syndrome
79173,Disorder of methionine cycle and sulfur amino acid metabolism
79174,Disorder of fatty acid oxidation and ketone body metabolism
79175,Disorder of gamma-aminobutyric acid metabolism
79177,Gluconeogenesis disorder
79178,Glucose transport disorder
79179,Disorder of glycerol metabolism
79181,Disorder of histidine metabolism
79183,Disorder of ketolysis
79185,Disorder of ornithine or proline metabolism
79186,Disorder of pentose phosphate metabolism
79187,Disorder of peptide metabolism
79188,Peroxisomal beta-oxidation disorder
79189,Peroxisome biogenesis disorder
79190,Disorder of phenylalanin or tyrosine metabolism
79191,Disorder of purine metabolism
79192,Disorder of pyridoxine metabolism
79193,Disorder of pyrimidine metabolism
79194,Disorder of serine or glycine metabolism
79195,Sterol biosynthesis disorder
79196,Disorder of the gamma-glutamyl cycle
79197,Disorder of branched-chain amino acid metabolism
79200,Disorder of energy metabolism
79201,Glycogen storage disease
79204,Lipid storage disease
79207,Disorder of lysosomal amino acid transport
79212,Mucolipidosis
79213,Mucopolysaccharidosis
79214,Disorder of biogenic amine metabolism and transport
79215,Oligosaccharidosis
79217,Other metabolic disease with skin involvement
79219,Metabolic disease involving other neurotransmitter deficiency
79224,Disorder of purine or pyrimidine metabolism
79225,Sphingolipidosis
79226,Sterol metabolism disorder
79230,HJV or HAMP-related hemochromatosis
79233,Hypoxanthine guanine phosphoribosyltransferase partial deficiency
79234,Crigler-Najjar syndrome type 1
79235,Crigler-Najjar syndrome type 2
79237,Galactokinase deficiency
79238,Galactose epimerase deficiency
79239,Classic galactosemia
79240,Glycogen storage disease due to liver and muscle phosphorylase kinase deficiency
79241,Biotinidase deficiency
79242,Holocarboxylase synthetase deficiency
79243,Pyruvate dehydrogenase E1-alpha deficiency
79244,Pyruvate dehydrogenase E2 deficiency
79246,Pyruvate dehydrogenase phosphatase deficiency
79253,Mild phenylketonuria
79254,Classic phenylketonuria
79255,GM1 gangliosidosis type 1
79256,GM1 gangliosidosis type 2
79257,GM1 gangliosidosis type 3
79258,Glycogen storage disease due to glucose-6-phosphatase deficiency type Ia
79259,Glycogen storage disease due to glucose-6-phosphatase deficiency type Ib
79269,Sanfilippo syndrome type A
79270,Sanfilippo syndrome type B
79271,Sanfilippo syndrome type C
79272,Sanfilippo syndrome type D
79273,Hereditary coproporphyria
79276,Acute intermittent porphyria
79277,Congenital erythropoietic porphyria
79278,Autosomal erythropoietic protoporphyria
79279,Alpha-N-acetylgalactosaminidase deficiency type 1
79280,Alpha-N-acetylgalactosaminidase deficiency type 2
79281,Alpha-N-acetylgalactosaminidase deficiency type 3
79282,"Methylmalonic acidemia with homocystinuria, type cblC"
79283,"Methylmalonic acidemia with homocystinuria, type cblD"
79284,Methylmalonic acidemia with homocystinuria type cblF
79292,Fish-eye disease
79293,Familial LCAT deficiency
79298,Diazoxide-resistant focal hyperinsulinism
79299,Congenital glucokinase-related hyperinsulinism
79301,Congenital bile acid synthesis defect type 1
79302,Congenital bile acid synthesis defect type 3
79303,Congenital bile acid synthesis defect type 2
79304,Progressive familial intrahepatic cholestasis type 2
79305,Progressive familial intrahepatic cholestasis type 3
79306,Progressive familial intrahepatic cholestasis type 1
79310,Vitamin B12-responsive methylmalonic acidemia type cblA
79311,Vitamin B12-responsive methylmalonic acidemia type cblB
79312,Vitamin B12-unresponsive methylmalonic acidemia type mut-
79314,L-2-hydroxyglutaric aciduria
79315,D-2-hydroxyglutaric aciduria
79318,PMM2-CDG
79319,MPI-CDG
79320,ALG6-CDG
79321,ALG3-CDG
79322,DPM1-CDG
79323,MPDU1-CDG
79324,ALG12-CDG
79325,ALG8-CDG
79326,ALG2-CDG
79327,ALG1-CDG
79328,ALG9-CDG
79329,MGAT2-CDG
79330,MOGS-CDG
79332,B4GALT1-CDG
79333,COG7-CDG
79345,Brachytelephalangic chondrodysplasia punctata
79346,"Chondrodysplasia punctata, tibial-metacarpal type"
79347,"Chondrodysplasia punctata, Toriello type"
79350,"3-phosphoserine phosphatase deficiency, infantile/juvenile form"
79351,"3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form"
79353,Epidermal disease
79354,Ichthyosis
79355,Erythrokeratoderma
79356,Acrokeratoderma
79357,Hereditary palmoplantar keratoderma
79358,Porokeratosis
79359,Other epidermal disorder
79360,Other genetic epidermal disease
79361,Inherited epidermolysis bullosa
79362,Epidermal appendage anomaly
79363,Hair anomaly
79364,Alopecia
79365,Rare disorder with hypertrichosis
79366,Isolated hair shaft abnormality
79367,Syndromic hair shaft abnormality
79368,Nail anomaly
79369,Isolated nail anomaly
79370,Syndromic nail anomaly
79372,Sebaceous gland anomaly
79373,Ectodermal dysplasia syndrome
79374,Pigmentation anomaly of the skin
79375,Hyperpigmentation of the skin
79376,Hypopigmentation of the skin
79377,Dermis disorder
79378,Dermis elastic tissue disorder
79379,Skin vascular disease
79380,Mixed dermis disorder
79381,Other dermis disorder
79382,Subcutaneous tissue disease
79384,Rare urticaria
79385,Unclassified genetic skin disorder
79386,Rare skin tumor or hamartoma
79387,Metabolic disease with skin involvement
79388,Mucopolysaccharidosis with skin involvement
79389,Premature aging
79390,Rare photodermatosis
79391,Immune deficiency with skin involvement
79394,Congenital ichthyosiform erythroderma
79395,Keratoderma hereditarium mutilans with ichthyosis
79396,"Autosomal dominant generalized epidermolysis bullosa simplex, severe form"
79397,Epidermolysis bullosa simplex with mottled pigmentation
79399,"Autosomal dominant generalized epidermolysis bullosa simplex, intermediate form"
79400,Localized epidermolysis bullosa simplex
79401,PLEC-related intermediate epidermolysis bullosa simplex without extracutaneous involvement
79402,Intermediate generalized junctional epidermolysis bullosa
79403,Junctional epidermolysis bullosa with pyloric atresia
79404,Severe generalized junctional epidermolysis bullosa
79405,Junctional epidermolysis bullosa inversa
79406,Late-onset junctional epidermolysis bullosa
79408,"Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form"
79409,Recessive dystrophic epidermolysis bullosa inversa
79410,"Localized dystrophic epidermolysis bullosa, pretibial form"
79411,Self-improving dystrophic epidermolysis bullosa
79414,Woolly hair nevus
79430,Hermansky-Pudlak syndrome
79431,Oculocutaneous albinism type 1A
79432,Oculocutaneous albinism type 2
79433,Oculocutaneous albinism type 3
79434,Oculocutaneous albinism type 1B
79435,Oculocutaneous albinism type 4
79443,Pseudohypoparathyroidism type 1A
79444,Pseudohypoparathyroidism type 1C
79445,Pseudopseudohypoparathyroidism
79447,X-linked lethal multiple pterygium syndrome
79452,Milroy disease
79455,Cutaneous mastocytoma
79456,Diffuse cutaneous mastocytosis
79457,Maculopapular cutaneous mastocytosis
79466,Inflammatory linear verrucous epidermal nevus
79467,Verrucous nevus
79468,Acanthokeratolytic verrucous nevus
79473,Variegate porphyria
79474,Atypical Werner syndrome
79476,Griscelli syndrome type 1
79477,Griscelli syndrome type 2
79478,Griscelli syndrome type 3
79479,Pemphigus vegetans
79480,Pemphigus erythematosus
79481,Pemphigus foliaceus
79483,Phakomatosis cesioflammea
79484,Phakomatosis cesiomarmorata
79485,Phakomatosis spilorosea
79489,Macrocystic lymphatic malformation
79490,Microcystic lymphatic malformation
79492,Pili gemini
79493,Brooke-Spiegler syndrome
79495,X-linked congenital generalized hypertrichosis
79499,Autosomal dominant deafness-onychodystrophy syndrome
79500,DOORS syndrome
79501,Punctate palmoplantar keratoderma type 1
79502,Punctate palmoplantar keratoderma type 2
79503,Ichthyosis hystrix of Curth-Macklin
79507,Hypotonia-failure to thrive-microcephaly syndrome
79643,Autosomal recessive hyperinsulinism due to SUR1 deficiency
79644,Autosomal recessive hyperinsulinism due to Kir6.2 deficiency
79651,Mild hyperphenylalaninemia
79665,Gardner syndrome
79669,Autoimmune bullous skin disease
83001,Urogenital tract malformation
83311,Rocky Mountain spotted fever
83312,Rickettsialpox
83313,Boutonneuse fever
83314,Epidemic typhus
83315,Murine typhus
83316,Pseudotyphus of California
83317,Scrub typhus
83330,Proximal spinal muscular atrophy type 1
83418,Proximal spinal muscular atrophy type 2
83419,Proximal spinal muscular atrophy type 3
83420,Proximal spinal muscular atrophy type 4
83450,Regional odontodysplasia
83451,Florid cemento-osseous dysplasia
83452,Complex regional pain syndrome
83453,Vulvovaginal gingival syndrome
83454,Glomuvenous malformation
83461,Congenital primary aphakia
83463,Microtia
83465,Narcolepsy type 2
83467,Morvan syndrome
83468,Solitary bone cyst
83469,Desmoplastic small round cell tumor
83471,T-cell immunodeficiency with thymic aplasia
83472,CAMOS syndrome
83473,Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome
83476,West-Nile encephalitis
83482,Mycoplasma encephalitis
83483,La Crosse encephalitis
83484,St. Louis encephalitis
83593,Western equine encephalitis
83594,Eastern equine encephalitis
83595,Colorado tick fever
83597,Acute disseminated encephalomyelitis
83600,Encephalitis lethargica
83601,Steroid-responsive encephalopathy associated with autoimmune thyroiditis
83616,Rubella panencephalitis
83617,Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome
83619,Macrostomia-preauricular tags-external ophthalmoplegia syndrome
83620,Enteric anendocrinosis
83628,LUMBAR syndrome
83629,Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome
83639,Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency
83642,Microcytic anemia with liver iron overload
84064,Syndromic diarrhea
84065,Idiopathic malabsorption due to bile acid synthesis defects
84081,Senior-Boichis syndrome
84085,Hinman syndrome
84087,Collagen type III glomerulopathy
84090,Fibronectin glomerulopathy
84093,Hereditary thermosensitive neuropathy
84132,Desmin-related myopathy with Mallory body-like inclusions
84142,Isaacs syndrome
85102,Perineurioma
85110,Familial encephalopathy with neuroserpin inclusion bodies
85112,Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome
85128,Bothnia retinal dystrophy
85136,Cystic leukoencephalopathy without megalencephaly
85138,Addison disease
85146,"Neurogenic scapuloperoneal syndrome, Kaeser type"
85162,Facial onset sensory and motor neuronopathy
85163,Hypomyelination-congenital cataract syndrome
85164,Camptodactyly-tall stature-scoliosis-hearing loss syndrome
85165,Severe achondroplasia-developmental delay-acanthosis nigricans syndrome
85166,"Platyspondylic dysplasia, Torrance type"
85167,Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome
85168,Craniofacial conodysplasia
85169,Familial digital arthropathy-brachydactyly
85170,"Mesomelic dysplasia, Savarirayan type"
85172,"Microcephalic osteodysplastic dysplasia, Saul-Wilson type"
85173,IMAGe syndrome
85174,Pseudodiastrophic dysplasia
85175,Astley-Kendall dysplasia
85179,Infantile osteopetrosis with neuroaxonal dysplasia
85182,Diaphyseal medullary stenosis-bone malignancy syndrome
85184,"Craniometadiaphyseal dysplasia, wormian bone type"
85186,Endosteal sclerosis-cerebellar hypoplasia syndrome
85188,"Metaphyseal dysplasia, Braun-Tinschert type"
85191,Singleton-Merten dysplasia
85192,Calvarial doughnut lesions-bone fragility syndrome
85193,Idiopathic juvenile osteoporosis
85194,Spondylo-ocular syndrome
85195,Familial expansile osteolysis
85197,Genochondromatosis type 1
85198,Dysspondyloenchondromatosis
85199,Craniosynostosis-anal anomalies-porokeratosis syndrome
85201,Genitopatellar syndrome
85202,Keutel syndrome
85203,Acropectoral syndrome
85212,Fetal Gaucher disease
85273,"X-linked intellectual disability, Abidi type"
85274,Syndromic X-linked intellectual disability 7
85275,Microphthalmia-ankyloblepharon-intellectual disability syndrome
85276,"X-linked intellectual disability, Armfield type"
85277,"X-linked intellectual disability, Cantagrel type"
85278,Christianson syndrome
85279,KDM5C-related syndromic X-linked intellectual disability
85280,X-linked intellectual disability-cubitus valgus-dysmorphism syndrome
85282,MEHMO syndrome
85283,"X-linked intellectual disability, Miles-Carpenter type"
85284,BRESEK syndrome
85285,"X-linked intellectual disability, Schimke type"
85286,"X-linked intellectual disability, Shashi type"
85287,"X-linked intellectual disability, Siderius type"
85288,"X-linked intellectual disability, Stocco Dos Santos type"
85290,"X-linked intellectual disability, Wilson type"
85292,X-linked spinocerebellar ataxia type 4
85293,"X-linked intellectual disability, Cabezas type"
85294,X-linked epilepsy-learning disabilities-behavior disorders syndrome
85295,"HSD10 disease, atypical type"
85297,X-linked spinocerebellar ataxia type 3
85317,X-linked intellectual disability-hypogammaglobulinemia-progressive neurological deterioration syndrome
85319,X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome
85320,X-linked intellectual disability-macrocephaly-macroorchidism syndrome
85321,"Deafness-intellectual disability syndrome, Martin-Probst type"
85322,"X-linked intellectual disability, Pai type"
85323,"X-linked intellectual disability, Seemanova type"
85324,"X-linked intellectual disability, Shrimpton type"
85325,"X-linked intellectual disability, Stevenson type"
85326,"X-linked intellectual disability, Stoll type"
85327,X-linked intellectual disability-acromegaly-hyperactivity syndrome
85329,X-linked intellectual disability-hypotonia-facial dysmorphism-aggressive behavior syndrome
85332,X-linked intellectual disability-retinitis pigmentosa syndrome
85334,"X-linked neurodegenerative syndrome, Bertini type"
85335,Fried syndrome
85336,"X-linked neurodegenerative syndrome, Hamel type"
85338,X-linked intellectual disability-ataxia-apraxia syndrome
85408,Rheumatoid factor-negative polyarticular juvenile idiopathic arthritis
85410,Oligoarticular juvenile idiopathic arthritis
85414,Systemic-onset juvenile idiopathic arthritis
85435,Rheumatoid factor-positive polyarticular juvenile idiopathic arthritis
85436,Psoriasis-related juvenile idiopathic arthritis
85438,Enthesitis-related juvenile idiopathic arthritis
85442,Short stature-pituitary and cerebellar defects-small sella turcica syndrome
85443,AL amyloidosis
85445,AA amyloidosis
85446,Wild type ABeta2M amyloidosis
85447,ATTRV30M amyloidosis
85448,AGel amyloidosis
85450,Hereditary amyloidosis with primary renal involvement
85451,ATTRV122I amyloidosis
85453,X-linked reticulate pigmentary disorder
85458,Cerebral Amyloid Angiopathy
86309,DPAGT1-CDG
86788,X-linked severe congenital neutropenia
86789,Isolated patella aplasia/hypoplasia
86795,Localized lichen myxedematosus
86797,Atypical lichen myxedematosus
86812,POMT1-related limb-girdle muscular dystrophy R11
86813,Helicoid peripapillary chorioretinal degeneration
86814,Benign adult familial myoclonic epilepsy
86815,Aplasia of lacrimal and salivary glands
86816,Congenital analbuminemia
86817,Hemolytic anemia due to adenylate kinase deficiency
86818,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome
86819,Atrichia with papular lesions
86820,Familial avascular necrosis of femoral head
86821,Lissencephaly type 3-familial fetal akinesia sequence syndrome
86822,Lissencephaly type 3-metacarpal bone dysplasia syndrome
86823,Lissencephaly with cerebellar hypoplasia
86829,Chronic neutrophilic leukemia
86830,"Chronic myeloproliferative disease, unclassifiable"
86834,Juvenile myelomonocytic leukemia
86836,Refractory cytopenia with multilineage dysplasia
86839,Myelodysplastic neoplasm with increased blasts
86841,Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality
86843,Acute panmyelosis with myelofibrosis
86845,Acute myeloid leukaemia with myelodysplasia-related features
86846,Therapy related acute myeloid leukemia and myelodysplastic syndrome
86849,Acute basophilic leukemia
86850,Myeloid sarcoma
86851,Acute leukemia of ambiguous lineage
86852,B-cell prolymphocytic leukemia
86854,Splenic marginal zone lymphoma
86855,Plasmacytoma
86861,Non-amyloid monoclonal immunoglobulin deposition disease
86864,Heavy chain disease
86867,Nodal marginal zone B-cell lymphoma
86869,Lymphomatoid granulomatosis
86870,Blastic plasmacytoid dendritic cell neoplasm
86871,T-cell prolymphocytic leukemia
86872,T-cell large granular lymphocyte leukemia
86873,Aggressive NK-cell leukemia
86875,Adult T-cell leukemia/lymphoma
86879,Extranodal nasal NK/T cell lymphoma
86880,Enteropathy-associated T-cell lymphoma
86882,Hepatosplenic T-cell lymphoma
86884,Subcutaneous panniculitis-like T-cell lymphoma
86885,Primary cutaneous peripheral T-cell lymphoma not otherwise specified
86886,Angioimmunoblastic T-cell lymphoma
86893,Nodular lymphocyte predominant Hodgkin lymphoma
86896,Histiocytic sarcoma
86897,Langerhans cell sarcoma
86900,Interdigitating dendritic cell sarcoma
86902,Follicular dendritic cell sarcoma
86903,Dendritic cell sarcoma not otherwise specified
86904,Methotrexate-associated lymphoproliferative disorders
86906,Hypothalamic hamartomas with gelastic seizures
86908,Hemiconvulsion-hemiplegia-epilepsy syndrome
86909,Myoclonic epilepsy of infancy
86911,Epilepsy with myoclonic absences
86913,Myoclonic epilepsy in non-progressive encephalopathies
86914,Lymphedema-cerebral arteriovenous anomaly-primary pulmonary hypertension syndrome
86915,Lymphedema-atrial septal defects-facial changes syndrome
86918,Diffuse palmoplantar keratoderma-acrocyanosis syndrome
86919,Keratosis palmaris et plantaris-clinodactyly syndrome
86920,Dermatopathia pigmentosa reticularis
86923,"Hereditary palmoplantar keratoderma, Gamborg-Nielsen type"
87277,Rare intellectual disability
87503,Mal de Meleda
87876,Sialidosis type 2
87884,Non-syndromic genetic deafness
88616,Autosomal recessive non-syndromic intellectual disability
88618,S-adenosylhomocysteine hydrolase deficiency
88619,Familial acute necrotizing encephalopathy
88620,Isolated congenital anosmia
88621,Ichthyosis-prematurity syndrome
88628,Posterior column ataxia-retinitis pigmentosa syndrome
88629,Tritanopia
88630,Terminal osseous dysplasia-pigmentary defects syndrome
88632,Anterior segment developmental anomaly
88633,Superior limbic keratoconjunctivitis
88635,Vacuolar myopathy with sarcoplasmic reticulum protein aggregates
88637,Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome
88639,Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency
88642,Congenital insensitivity to pain-anosmia-neuropathic arthropathy
88643,Obesity-colitis-hypothyroidism-cardiac hypertrophy-developmental delay syndrome
88644,"Autosomal recessive ataxia, Beauce type"
88659,Autosomal dominant progressive nephropathy with hypertension
88660,Hypertension due to gain-of-function mutations in the mineralocorticoid receptor
88661,Amelogenesis imperfecta
88673,Hepatocellular carcinoma
88917,X-linked Alport syndrome
88918,Autosomal dominant Alport syndrome
88919,Autosomal recessive Alport syndrome
88924,Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis
88938,Pseudohypoaldosteronism type 2A
88939,Pseudohypoaldosteronism type 2B
88940,Pseudohypoaldosteronism type 2C
88949,MUC1-related autosomal dominant tubulointerstitial kidney disease
88950,UMOD-related autosomal dominant tubulointerstitial kidney disease
88991,Rare congenital non-syndromic heart malformation
88993,Esophageal malformation
89043,Rare dementia
89826,Rare skin disease
89838,Autosomal recessive generalized epidermolysis bullosa simplex
